size.bin.start	size.bin.end	estimate	p.value	conf.low	conf.high	method	alternative	case.above	case.below	control.above	control.below	cut.off
0	2500	1.05485679212336	0.342452030245129	0.832691316090847	1.33114234883972	Fisher's Exact Test for Count Data	greater	120	2191	223	4295	1
2500	5000	1.02286516637537	0.511499378297358	0.592661247208717	1.73013480712901	Fisher's Exact Test for Count Data	greater	25	447	45	823	3
5000	7500	0.83504037719885	0.768420621408683	0.429084447634324	1.56642132721254	Fisher's Exact Test for Count Data	greater	17	179	38	334	4.90000000000003
7500	10000	1.50314670639882	0.221558696081274	0.598755083449793	3.7230230002943	Fisher's Exact Test for Count Data	greater	12	70	14	123	5.40000000000001
10000	12500	0.971922303988353	0.622977966765444	0.269482885765458	3.24751443673761	Fisher's Exact Test for Count Data	greater	6	59	9	86	5
12500	15000	0.504140598664996	0.868471597200133	0.00974060716491996	5.48701005712392	Fisher's Exact Test for Count Data	greater	1	23	4	46	6
15000	17500	0.466209006263811	0.886982935763424	0.00823036161168256	6.43655684770443	Fisher's Exact Test for Count Data	greater	1	16	3	22	6.6
17500	20000	0	1	0	184.718213580434	Fisher's Exact Test for Count Data	greater	0	4	1	18	7
20000	22500	0	1	0	77.9062690200851	Fisher's Exact Test for Count Data	greater	0	7	1	13	8
22500	25000	6.39931018963383	0.130434782608696	0.417906130268304	391.883630324569	Fisher's Exact Test for Count Data	greater	3	6	1	14	7
25000	27500	1.4413521389477	0.666666666666666	0.049269056497594	117.477921529962	Fisher's Exact Test for Count Data	greater	2	4	1	3	5.7
27500	30000	1	0.785714285714286	0.00959126385620395	104.261546235449	Fisher's Exact Test for Count Data	greater	1	3	1	3	10.1
30000	32500	0	1	0	58.4474885844749	Fisher's Exact Test for Count Data	greater	0	2	1	2	5.2
32500	35000	0	1	0	194.410692588092	Fisher's Exact Test for Count Data	greater	0	1	1	4	15.2
35000	37500	0	1	0	77.9062690200851	Fisher's Exact Test for Count Data	greater	0	1	1	1	11.5
37500	40000	Inf	0.75	0.00856250000000001	Inf	Fisher's Exact Test for Count Data	greater	1	2	0	1	9
40000	42500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	1	12
42500	45000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
45000	47500	0	1	0	39.0005499686929	Fisher's Exact Test for Count Data	greater	0	2	1	1	7.6
47500	50000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	1	12
50000	52500	Inf	0.3	0.121578311879843	Inf	Fisher's Exact Test for Count Data	greater	2	0	1	2	11.2
52500	55000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	2	0	1	12
55000	57500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	1	5
57500	60000	Inf	0.5	0.0256406640625	Inf	Fisher's Exact Test for Count Data	greater	1	0	0	1	5
60000	62500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	1	16
62500	65000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
65000	67500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	1	14
67500	70000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
70000	72500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
72500	75000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	1	0	1	44
75000	77500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
77500	80000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
80000	82500	0	1	0	39.0005499686929	Fisher's Exact Test for Count Data	greater	0	2	1	1	12.7
82500	85000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	1	20
85000	87500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
87500	90000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
90000	92500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
92500	95000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
95000	97500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
97500	1e+05	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
1e+05	102500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
102500	105000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
105000	107500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
107500	110000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
110000	112500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
112500	115000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
115000	117500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
117500	120000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
120000	122500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
122500	125000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
125000	127500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
127500	130000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
130000	132500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
132500	135000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
135000	137500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
137500	140000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
140000	142500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
142500	145000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
145000	147500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
147500	150000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
150000	152500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
152500	155000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
155000	157500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
157500	160000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
160000	162500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
162500	165000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
165000	167500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
167500	170000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
170000	172500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
172500	175000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
175000	177500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
177500	180000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
180000	182500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
182500	185000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
185000	187500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
187500	190000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
190000	192500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
192500	195000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
195000	197500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
197500	2e+05	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
2e+05	202500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	1	31
